Instruction,Output,text
"Describe the product ""Loafers For Men (Brown).""","The ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) are a stylish pair of casual shoes designed for men. These loafers are made from synthetic outer material and come in a rich shade of brown. They feature a slip-on closure and have a synthetic sole. The shoes are ideal for casual occasions and are comfortable for day trips. The weight of each shoe is around 500g. The product includes one shoe in the package. The brand ""Bone"" offers these loafers at a discounted price of 448 INR, originally priced at 999 INR. The average rating for the product is 3.9. The seller is ""Manojsunda,"" and the product is available in India. [Product Images](Image URLs)](URL) [Product Link](Product URL)","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Describe the product ""Loafers For Men (Brown)."" ### Response: The ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) are a stylish pair of casual shoes designed for men. These loafers are made from synthetic outer material and come in a rich shade of brown. They feature a slip-on closure and have a synthetic sole. The shoes are ideal for casual occasions and are comfortable for day trips. The weight of each shoe is around 500g. The product includes one shoe in the package. The brand ""Bone"" offers these loafers at a discounted price of 448 INR, originally priced at 999 INR. The average rating for the product is 3.9. The seller is ""Manojsunda,"" and the product is available in India. [Product Images](Image URLs)](URL) [Product Link](Product URL)"
"What is the brand of ""Loafers For Men (Brown)?""","The brand of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is ""Bone.""","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the brand of ""Loafers For Men (Brown)?"" ### Response: The brand of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is ""Bone."""
"Are ""Loafers For Men (Brown)"" suitable for women?","No, the ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) are designed for men.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Are ""Loafers For Men (Brown)"" suitable for women? ### Response: No, the ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) are designed for men."
"What is the average rating of ""Loafers For Men (Brown)?""","The average rating of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is 3.9.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the average rating of ""Loafers For Men (Brown)?"" ### Response: The average rating of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is 3.9."
"Can you provide care instructions for ""Loafers For Men (Brown)?""","Certainly, these loafers are made with utmost design and synchronized with the changing and leading trends. They are built to be comfortable for day trips and casual occasions. (Product ID: SHOFMRCRHAVQZKGM)","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Can you provide care instructions for ""Loafers For Men (Brown)?"" ### Response: Certainly, these loafers are made with utmost design and synchronized with the changing and leading trends. They are built to be comfortable for day trips and casual occasions. (Product ID: SHOFMRCRHAVQZKGM)"
"What is the discount percentage on ""Loafers For Men (Brown)?""","The product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is currently offered at a discount of 55% off its original price, making it available for 448 INR instead of the original 999 INR.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the discount percentage on ""Loafers For Men (Brown)?"" ### Response: The product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is currently offered at a discount of 55% off its original price, making it available for 448 INR instead of the original 999 INR."
"Where is the product ""Loafers For Men (Brown)"" available?","The product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is available from the seller ""Manojsunda"" in India.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Where is the product ""Loafers For Men (Brown)"" available? ### Response: The product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is available from the seller ""Manojsunda"" in India."
"What is the color of ""Loafers For Men (Brown)?""","The color of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is brown.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the color of ""Loafers For Men (Brown)?"" ### Response: The color of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is brown."
"What is the material used for the outer of ""Loafers For Men (Brown)?""","The outer material of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is synthetic.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the material used for the outer of ""Loafers For Men (Brown)?"" ### Response: The outer material of the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is synthetic."
"What type of closure do ""Loafers For Men (Brown)"" have?","The ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) feature a slip-on closure.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What type of closure do ""Loafers For Men (Brown)"" have? ### Response: The ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) feature a slip-on closure."
"What is the weight of each shoe in ""Loafers For Men (Brown)?""","The weight of each shoe in the ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) product may vary depending on the size but is approximately 500g per shoe.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the weight of each shoe in ""Loafers For Men (Brown)?"" ### Response: The weight of each shoe in the ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) product may vary depending on the size but is approximately 500g per shoe."
"What is included in the sales package of ""Loafers For Men (Brown)?""","The product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) includes one shoe in the sales package.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is included in the sales package of ""Loafers For Men (Brown)?"" ### Response: The product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) includes one shoe in the sales package."
"Is ""Loafers For Men (Brown)"" currently in stock?","Yes, the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is currently in stock.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Is ""Loafers For Men (Brown)"" currently in stock? ### Response: Yes, the product ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) is currently in stock."
"Where are the ""Loafers For Men (Brown)"" manufactured?","The ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) are manufactured in India.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Where are the ""Loafers For Men (Brown)"" manufactured? ### Response: The ""Loafers For Men (Brown)"" (Product ID: SHOFMRCRHAVQZKGM) are manufactured in India."
"Describe the product ""Loafers For Men (Black).""","The ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) from the brand ""Bone"" are a classy pair of loafers designed for men. These loafers are made from suede outer material, giving them a refined look in black. They feature a slip-on closure and have a fabric sole. These loafers are ideal for casual occasions and provide exceptional comfort. Each shoe weighs around 500g, and the product includes one pair in the package. These loafers are available at a discounted price of 474 INR, down from the original price of 999 INR. The average rating for the product is 3.8. The seller is ""Manojsunda,"" and the product is available in India. [Product Images](Image URLs)](URL) [Product Link](Product URL)","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Describe the product ""Loafers For Men (Black)."" ### Response: The ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) from the brand ""Bone"" are a classy pair of loafers designed for men. These loafers are made from suede outer material, giving them a refined look in black. They feature a slip-on closure and have a fabric sole. These loafers are ideal for casual occasions and provide exceptional comfort. Each shoe weighs around 500g, and the product includes one pair in the package. These loafers are available at a discounted price of 474 INR, down from the original price of 999 INR. The average rating for the product is 3.8. The seller is ""Manojsunda,"" and the product is available in India. [Product Images](Image URLs)](URL) [Product Link](Product URL)"
"What is the brand of ""Loafers For Men (Black)?""","The brand of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is ""Bone.""","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the brand of ""Loafers For Men (Black)?"" ### Response: The brand of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is ""Bone."""
"Are ""Loafers For Men (Black)"" suitable for women?","No, the ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) are designed for men.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Are ""Loafers For Men (Black)"" suitable for women? ### Response: No, the ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) are designed for men."
"What is the average rating of ""Loafers For Men (Black)?""","The average rating of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is 3.8.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the average rating of ""Loafers For Men (Black)?"" ### Response: The average rating of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is 3.8."
"Can you provide care instructions for ""Loafers For Men (Black)?""","Certainly, these loafers should be allowed to air and de-odorize regularly. Shoe bags can be used to prevent stains or mildew. Dry dirt can be removed from the surface using a clean cloth. The use of polish or shiner is not recommended. (Product ID: SHOFVAGYEHERFV9T)","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Can you provide care instructions for ""Loafers For Men (Black)?"" ### Response: Certainly, these loafers should be allowed to air and de-odorize regularly. Shoe bags can be used to prevent stains or mildew. Dry dirt can be removed from the surface using a clean cloth. The use of polish or shiner is not recommended. (Product ID: SHOFVAGYEHERFV9T)"
"What is the discount percentage on ""Loafers For Men (Black)?""","The product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is currently offered at a discount of 52% off its original price, making it available for 474 INR instead of the original 999 INR.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the discount percentage on ""Loafers For Men (Black)?"" ### Response: The product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is currently offered at a discount of 52% off its original price, making it available for 474 INR instead of the original 999 INR."
"Where is the product ""Loafers For Men (Black)"" available?","The product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is available from the seller ""Manojsunda"" in India.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Where is the product ""Loafers For Men (Black)"" available? ### Response: The product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is available from the seller ""Manojsunda"" in India."
"What is the color of ""Loafers For Men (Black)?""","The color of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is black.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the color of ""Loafers For Men (Black)?"" ### Response: The color of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is black."
"What is the material used for the outer of ""Loafers For Men (Black)?""","The outer material of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is suede.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the material used for the outer of ""Loafers For Men (Black)?"" ### Response: The outer material of the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is suede."
"What type of closure do ""Loafers For Men (Black)"" have?","The ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) feature a slip-on closure.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What type of closure do ""Loafers For Men (Black)"" have? ### Response: The ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) feature a slip-on closure."
"What is the weight of each shoe in ""Loafers For Men (Black)?""","The weight of each shoe in the ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) product may vary depending on the size but is approximately 500g per shoe.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the weight of each shoe in ""Loafers For Men (Black)?"" ### Response: The weight of each shoe in the ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) product may vary depending on the size but is approximately 500g per shoe."
"What is included in the sales package of ""Loafers For Men (Black)?""","The product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) includes one pair of shoes in the sales package.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is included in the sales package of ""Loafers For Men (Black)?"" ### Response: The product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) includes one pair of shoes in the sales package."
"Is ""Loafers For Men (Black)"" currently in stock?","Yes, the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is currently in stock.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Is ""Loafers For Men (Black)"" currently in stock? ### Response: Yes, the product ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) is currently in stock."
"Where are the ""Loafers For Men (Black)"" manufactured?","The ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) are manufactured in India.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Where are the ""Loafers For Men (Black)"" manufactured? ### Response: The ""Loafers For Men (Black)"" (Product ID: SHOFVAGYEHERFV9T) are manufactured in India."
"Describe the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2).""","The ""Printed Men Round Neck Orange, Dark Blue T-Shirt"" (Product ID: TSHFZPENTY9GZ5FY) is a pack of 2 stylish t-shirts designed by the brand ""Vibrant Vestu."" These t-shirts are made from pure cotton fabric, ensuring comfort and sweat-wicking properties. The pack includes t-shirts with a round neck and half sleeves. The t-shirts are designed in a regular fit and are suitable for men. They come in a coral and royal blue color combination, featuring large abstract graphic chest prints. The fabric care instructions suggest gentle machine wash, avoiding tumble dry, and reversing and ironing. These t-shirts are reversible and feature a narrow sleeve type. The product is out of stock. [Product Images](Image URLs)](URL) [Product Link](Product URL)","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Describe the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)."" ### Response: The ""Printed Men Round Neck Orange, Dark Blue T-Shirt"" (Product ID: TSHFZPENTY9GZ5FY) is a pack of 2 stylish t-shirts designed by the brand ""Vibrant Vestu."" These t-shirts are made from pure cotton fabric, ensuring comfort and sweat-wicking properties. The pack includes t-shirts with a round neck and half sleeves. The t-shirts are designed in a regular fit and are suitable for men. They come in a coral and royal blue color combination, featuring large abstract graphic chest prints. The fabric care instructions suggest gentle machine wash, avoiding tumble dry, and reversing and ironing. These t-shirts are reversible and feature a narrow sleeve type. The product is out of stock. [Product Images](Image URLs)](URL) [Product Link](Product URL)"
"What is the brand of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The brand of the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is ""Vibrant Vestu.""","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the brand of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The brand of the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is ""Vibrant Vestu."""
"Are ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" suitable for women?","No, the ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is designed for men.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Are ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" suitable for women? ### Response: No, the ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is designed for men."
"What is the average rating of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The average rating for the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is not available.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the average rating of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The average rating for the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is not available."
"What is the discount percentage on ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is currently offered at a discount of 50% off its original price, making it available for 499 INR instead of the original 999 INR.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the discount percentage on ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is currently offered at a discount of 50% off its original price, making it available for 499 INR instead of the original 999 INR."
"What type of neck does ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" have?","The ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) features a round neck.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What type of neck does ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" have? ### Response: The ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) features a round neck."
"What is the fabric of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The fabric used for the t-shirts in the ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is pure cotton.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the fabric of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The fabric used for the t-shirts in the ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is pure cotton."
"How many t-shirts are included in the pack of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The pack of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) includes 2 t-shirts.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: How many t-shirts are included in the pack of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The pack of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) includes 2 t-shirts."
"What is the style code of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The style code of the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is VMEN01-CMB-04-08.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the style code of ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The style code of the product ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is VMEN01-CMB-04-08."
"What is the size of the t-shirts in ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?""","The size of the t-shirts in the pack ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is L.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the size of the t-shirts in ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)?"" ### Response: The size of the t-shirts in the pack ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) is L."
"What type of pattern do the t-shirts in ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" have?","The t-shirts in the pack ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) have a printed pattern with large abstract graphic chest prints.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What type of pattern do the t-shirts in ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" have? ### Response: The t-shirts in the pack ""Printed Men Round Neck Orange, Dark Blue T-Shirt (Pack of 2)"" (Product ID: TSHFZPENTY9GZ5FY) have a printed pattern with large abstract graphic chest prints."
